#score	name1	strand1	size1	zstart1	end1	name2	strand2	size2	zstart2	end2	identity	idPct	coverage	covPct
58940	s288c_chr3	+	316620	315701	316516	NODE_1_length_5160_cov_120.007172	+	5174	4369	5174	720/800	90.0%	805/5174	15.6%
110610	s288c_chr3	+	316620	373	1543	NODE_1_length_5160_cov_120.007172	-	5174	0	1170	1170/1170	100.0%	1170/5174	22.6%
20099	s288c_chr3	+	316620	1177	1429	NODE_1_length_5160_cov_120.007172	-	5174	4558	4809	231/251	92.0%	251/5174	4.9%
254236	s288c_chr3	+	316620	1756	4687	NODE_1_length_5160_cov_120.007172	-	5174	2069	5174	2859/2923	97.8%	3105/5174	60.0%
19885	s288c_chr3	+	316620	4071	4322	NODE_1_length_5160_cov_120.007172	-	5174	804	1056	230/251	91.6%	252/5174	4.9%
15320	s288c_chr3	+	316620	291916	292167	NODE_1_length_5160_cov_120.007172	-	5174	800	1056	210/241	87.1%	256/5174	4.9%
15635	s288c_chr3	+	316620	291921	292540	NODE_1_length_5160_cov_120.007172	-	5174	4559	5077	372/491	75.8%	518/5174	10.0%
110988	s288c_chr3	+	316620	303402	304638	NODE_1_length_5160_cov_120.007172	-	5174	1180	2563	1232/1236	99.7%	1383/5174	26.7%
47109	s288c_chr3	+	316620	10518	11016	NODE_3_length_484_cov_253.231400	-	498	0	498	498/498	100.0%	498/498	100.0%
38618	s288c_chr3	+	316620	11109	11522	NODE_13_length_399_cov_101.889725	-	413	0	413	413/413	100.0%	413/413	100.0%
32868	s288c_chr3	+	316620	1546	2099	NODE_14_length_20558_cov_114.885155	+	20572	0	784	506/553	91.5%	784/20572	3.8%
1820246	s288c_chr3	+	316620	178579	198684	NODE_14_length_20558_cov_114.885155	+	20572	231	20572	19704/19715	99.9%	20341/20572	98.9%
56776	s288c_chr3	+	316620	5409	6012	NODE_15_length_590_cov_229.208481	-	604	1	604	602/603	99.8%	603/604	99.8%
45647	s288c_chr3	+	316620	12458	12943	NODE_31_length_471_cov_344.866241	+	485	0	485	485/485	100.0%	485/485	100.0%
45647	s288c_chr3	+	316620	199618	200103	NODE_31_length_471_cov_344.866241	+	485	0	485	485/485	100.0%	485/485	100.0%
45647	s288c_chr3	+	316620	293251	293736	NODE_31_length_471_cov_344.866241	+	485	0	485	485/485	100.0%	485/485	100.0%
69642	s288c_chr3	+	316620	4673	5411	NODE_44_length_724_cov_235.864639	-	738	0	738	738/738	100.0%	738/738	100.0%
77607	s288c_chr3	+	316620	6445	7270	NODE_77_length_811_cov_265.490753	-	825	0	825	821/825	99.5%	825/825	100.0%
48510	s288c_chr3	+	316620	7502	8015	NODE_88_length_499_cov_173.202408	-	513	0	513	513/513	100.0%	513/513	100.0%
76996	s288c_chr3	+	316620	9218	10040	NODE_118_length_808_cov_262.738861	-	822	0	822	817/822	99.4%	822/822	100.0%
29621	s288c_chr3	+	316620	11508	11823	NODE_169_length_301_cov_258.863800	-	315	0	315	314/315	99.7%	315/315	100.0%
29826	s288c_chr3	+	316620	198670	198985	NODE_169_length_301_cov_258.863800	-	315	0	315	315/315	100.0%	315/315	100.0%
970881	s288c_chr3	+	316620	58001	68563	NODE_197_length_11002_cov_113.090256	+	11016	0	10673	10408/10413	100.0%	10673/11016	96.9%
7841	s288c_chr3	+	316620	68805	68888	NODE_197_length_11002_cov_113.090256	+	11016	10933	11016	83/83	100.0%	83/11016	0.8%
4212	s288c_chr3	+	316620	159061	159106	NODE_203_length_219_cov_146.082199	+	233	0	45	45/45	100.0%	45/233	19.3%
19326	s288c_chr3	+	316620	132955	133161	NODE_203_length_219_cov_146.082199	-	233	0	206	205/206	99.5%	206/233	88.4%
25629	s288c_chr3	+	316620	297322	297594	NODE_227_length_258_cov_163.786819	+	272	0	272	271/272	99.6%	272/272	100.0%
216102	s288c_chr3	+	316620	28326	30741	NODE_239_length_3043_cov_106.764046	+	3057	0	2391	2349/2379	98.7%	2391/3057	78.2%
61342	s288c_chr3	+	316620	27670	28326	NODE_239_length_3043_cov_106.764046	-	3057	0	656	653/656	99.5%	656/3057	21.5%
50939	s288c_chr3	+	316620	8650	9189	NODE_268_length_22264_cov_106.676605	+	22278	17661	18200	539/539	100.0%	539/22278	2.4%
13636	s288c_chr3	+	316620	125361	125506	NODE_268_length_22264_cov_106.676605	+	22278	18880	19025	145/145	100.0%	145/22278	0.7%
